name,ticker,country,sector,inception_px,current_px,shares,cost_basis,current_value,pnl,return_pct,weight_now,snapshot_date
Maruwa Co,5344.T,JP,Info Tech,54362.2890625,69500.0,0.367902094354528,20000.0,25569.195557639694,5569.195557639694,27.84597778819847,2.3357741695315597,2026-04-17
King Slide Works,2059.TW,TW,Industrials,3000.0,3640.0,15.0,45000.0,54600.0,9600.0,21.333333333333336,4.987770122408803,2026-04-17
Technogym,TGYM.MI,IT,Cons Disc,16.6200008392334,19.989999771118164,1203.3693736517587,20000.0,24055.353503869264,4055.3535038692644,20.276767519346322,2.1974830309630224,2026-04-17
Kakaku.com,2371.T,JP,Comm Svcs,1782.98193359375,2144.5,44.86865429912309,80000.0,96220.82914446946,16220.829144469462,20.276036430586828,8.78987869524152,2026-04-17
Games Workshop,GAW.L,GB,Cons Disc,16849.05078125,20040.0,4.748041954329308,80000.0,95150.76076475932,15150.760764759325,18.938450955949158,8.692126770456673,2026-04-17
Largan Precision,3008.TW,TW,Info Tech,2236.30322265625,2605.0,20.122494813806878,45000.0,52419.098989966915,7419.098989966915,16.48688664437092,4.78854241365836,2026-04-17
Odontoprev,ODPV3.SA,BR,Healthcare,13.710000038146973,15.779999732971191,5835.156803603679,80000.0,92078.77280271109,12078.772802711086,15.098466003388857,8.411497287425469,2026-04-17
Recruit Holdings,6098.T,JP,Industrials,6687.15283203125,7524.0,6.729321301653437,45000.0,50631.41347364046,5631.413473640459,12.514252163645464,4.625235373244513,2026-04-17
Bumrungrad,BH.BK,TH,Healthcare,161.8059539794922,178.0,123.60484585465171,20000.0,22001.662562128004,2001.6625621280036,10.00831281064002,2.009876102027516,2026-04-17
Crompton Greaves,CROMPTON.NS,IN,Cons Disc,241.3000030517578,261.45001220703125,186.4898443053384,45000.0,48757.77207011808,3757.7720701180806,8.3506046002624,4.454076167885593,2026-04-17
AutoTrader,AUTO.L,GB,Comm Svcs,483.20001220703125,523.4000244140625,165.56290972468622,80000.0,86655.63099196399,6655.63099196399,8.319538739954988,7.91608731135898,2026-04-17
Dormakaba,DOKA.SW,CH,Industrials,51.79999923706055,55.79999923706055,386.1003917870892,20000.0,21544.401567148358,1544.4015671483576,7.722007835741788,1.968104806626373,2026-04-17
Rational AG,RAA.DE,DE,Industrials,663.0,703.0,30.165912518853695,20000.0,21206.636500754146,1206.6365007541463,6.033182503770732,1.9372495958836171,2026-04-17
Next PLC,NXT.L,GB,Cons Disc,12765.0,13440.0,3.525264394829612,45000.0,47379.553466509984,2379.553466509984,5.287896592244409,4.3281743808302,2026-04-17
Ipsen,IPN.PA,FR,Healthcare,154.1999969482422,161.8000030517578,129.7016886888336,20000.0,20985.73362567142,985.7336256714188,4.928668128357094,1.9170698749991513,2026-04-17
Clicks Group,CLS.JO,ZA,Cons Staples,29595.0,30014.0,2.7031593174522723,80000.0,81132.6237540125,1132.6237540125003,1.4157796925156254,7.4115545185512515,2026-04-17
Kimberly-Clark MX,KIMBERA.MX,MX,Cons Staples,40.750328063964844,41.31999969482422,1104.2855883114498,45000.0,45629.08017202789,629.0801720278905,1.3979559378397568,4.168266717857814,2026-04-17
SADAFCO,2270.SR,SA,Cons Staples,216.5,218.0,92.37875288683603,20000.0,20138.568129330255,138.56812933025503,0.6928406466512752,1.8396803740580143,2026-04-17
Mr Price,MRP.JO,ZA,Cons Disc,16835.0,16886.0,2.673002673002673,45000.0,45136.32313632314,136.3231363231389,0.30294030294030866,4.123252820050215,2026-04-17
ITC,ITC.NS,IN,Cons Staples,306.0,306.79998779296875,261.437908496732,80000.0,80209.14713541666,209.14713541665697,0.2614339192708212,7.327193912562689,2026-04-17
Petronet LNG,PETRONET.NS,IN,Energy,278.54998779296875,273.2200012207031,71.80039804871551,20000.0,19617.30484251702,-382.69515748298,-1.9134757874148998,1.7920623988221962,2026-04-17
HM Sampoerna,HMSP.JK,ID,Cons Staples,780.0,755.0,57.69230769230769,45000.0,43557.692307692305,-1442.307692307695,-3.205128205128211,3.979043155556473,2026-04-17
